Condition_x,Coordinates,Condition_y
,"49.21056703529849, -123.04182089911801",Poor
,"49.21057158346338, -123.1412800011485",Poor
GOOD,"49.21057732242579, -123.14439921721784",
,"49.21059621589144, -123.1427958719164",Very Good
,"49.21059807026246, -123.06174455202328",Very Good
,"49.210606323815966, -123.12507924525747",Very Good
,"49.210622547302215, -123.14441502916858",Good
,"49.210629856531405, -123.11607107088503",Very Good
FAIR,"49.21063166229338, -123.14713153942147",
,"49.21063178726234, -123.12672133740412",Good
POOR,"49.21065163002366, -123.12507820757077",
,"49.21065252060608, -123.12810233812",Good
,"49.21067358093276, -123.12019149796707",Very Poor
VERY GOOD,"49.21067382251696, -123.12025845184375",
,"49.21067407303461, -123.12948445824445",Very Good
,"49.21067585382274, -123.12032873869101",Very Good
VERY POOR,"49.21067706583621, -123.12671846248358",
,"49.210678374269385, -123.06952695921449",Very Good
,"49.21068151719859, -123.05852844396507",Good
VERY POOR,"49.210687162472, -123.05979651824055",
,"49.21069475492469, -123.13086463710131",Good
,"49.21069625714118, -123.1250765545253",Good
VERY POOR,"49.21069773574444, -123.12809796211887",
,"49.21071590237004, -123.13224569302551",Good
FAIR,"49.21071919874985, -123.1294774374152",
,"49.210721722651826, -123.12671832698226",Good
,"49.21073235317812, -123.09937977611983",Good
,"49.2107365544388, -123.13362449669921",Very Good
FAIR,"49.21073987001498, -123.13085692885622",
,"49.21074244784228, -123.12809933031731",Very Good
,"49.21075696452675, -123.13503768008539",Very Good
VERY GOOD,"49.210761080460294, -123.13224327762568",
,"49.21076383942418, -123.05857388567408",Good
,"49.210764005356694, -123.12948143929623",Poor
,"49.21076656061298, -123.11715651670636",Good
,"49.21077550417667, -123.13635287610812",Good
VERY GOOD,"49.210781724355684, -123.13362277514113",
,"49.21078467806905, -123.13086142826258",Good
,"49.21078942491818, -123.13735362538439",Very Good
VERY GOOD,"49.21080162698333, -123.13500230007611",
,"49.21080582127851, -123.13224229445862",Good
,"49.21080669486214, -123.13845370416355",Very Good
,"49.210816429429926, -123.02834257790171",Fair
VERY GOOD,"49.21082580700175, -123.13672501684518",
,"49.21082648337991, -123.13362098386973",Very Good
,"49.21082909849755, -123.13979569938184",Very Good
,"49.21083339686133, -123.10123393389843",Very Poor
,"49.21083610089033, -123.09915209012819",Very Good
,"49.21084641526676, -123.13499978179654",Fair
VERY GOOD,"49.21085168768328, -123.13844766988284",
,"49.21086544387956, -123.13634938746685",Very Good
,"49.21087179219334, -123.07663299233337",Very Good
VERY POOR,"49.210871885120625, -123.1066267140633",
,"49.210872122129516, -123.10669539450616",Very Good
GOOD,"49.21087411469272, -123.13979277376873",
,"49.21087982686882, -123.13738456237719",Very Good
,"49.21088690864334, -123.07757052757056",Very Good
,"49.21089029242921, -123.02826472288851",Very Poor
,"49.21089662420701, -123.13845068073228",Good
,"49.210897985142125, -123.07442582627388",Very Good
GOOD,"49.21090270463686, -123.0567336295312",
GOOD,"49.21090460860363, -123.12411390847616",
,"49.21091790790717, -123.07517225182883",Very Good
,"49.210919031024424, -123.13979285585759",Very Good
,"49.21091920248243, -123.06770857317565",Good
,"49.210920774753575, -123.0758854133784",Very Good
VERY GOOD,"49.21092297547002, -123.02843240797284",
,"49.21092924992704, -123.10125667544432",Very Good
,"49.21094097096912, -123.14051338650208",Very Good
,"49.210945372853736, -123.14037587261642",Very Good
,"49.210945373240314, -123.079028814347",Very Good
,"49.210946241561516, -123.09683953650756",Good
,"49.21094694935614, -123.07839324768001",Good
,"49.21095523435091, -123.06764342120222",Very Good
,"49.21097171023824, -123.09225673318632",Good
,"49.210974618871006, -123.0567873149325",Very Good
,"49.21097613391675, -123.0802416585555",Very Good
,"49.21097811244203, -123.07173630163558",Very Good
,"49.21097821089106, -123.09033897450479",Very Good
GOOD,"49.21098824355897, -123.14360874362701",
,"49.21099016101991, -123.14354162934326",Very Good
,"49.21099651105911, -123.07299231682676",Very Good
,"49.2110001715184, -123.08886851447939",Very Good
,"49.21100111524269, -123.09471534733169",Very Good
,"49.211019364899784, -123.14532831178659",Very Good
,"49.211019403302735, -123.12418049708664",Very Poor
FAIR,"49.21102071782971, -123.14539920652174",
VERY GOOD,"49.21102359159737, -123.0678348262561",
,"49.21102715242669, -123.12595004986001",Good
,"49.211028531040164, -123.08701077403026",Very Good
VERY POOR,"49.21102993547472, -123.12601683750788",
,"49.21103657257102, -123.06615406758888",Very Good
FAIR,"49.211037309152246, -123.06608515769929",
,"49.21103949972266, -123.05663593292523",Poor
VERY GOOD,"49.211045741027746, -123.06396386496691",
,"49.21105175390442, -123.12608654406108",Good
,"49.21105463734482, -123.09668139324182",Good
,"49.21105941856558, -123.08495820014936",Very Good
,"49.211061300522374, -123.09216913557883",Very Good
,"49.211066598351294, -123.0716650196834",Very Good
,"49.211067879666736, -123.09370126341773",Very Good
,"49.211068172172965, -123.09033975627794",Very Good
,"49.21107012004738, -123.08140407859335",Very Good
,"49.21107729336699, -123.148501150239",Very Good
,"49.21107975379595, -123.0836221362612",Very Good
,"49.211081044934375, -123.08270869182996",Very Good
,"49.21108717784787, -123.07305881272143",Very Good
,"49.21108958829389, -123.08890494957458",Good
,"49.211090192664486, -123.09468365312874",Very Good
,"49.21109158172985, -123.02682512714547",Good
,"49.21110606694375, -123.1342254690546",Good
,"49.21110650072578, -123.1099888225789",Good
,"49.211107103881815, -123.12217489839206",Fair
,"49.211108920814034, -123.13436270190749",Very Good
,"49.21111851648568, -123.08701026609477",Fair
VERY POOR,"49.211125264333596, -123.1100548805199",
,"49.21115039689808, -123.08489093452934",Very Good
,"49.21115134257886, -123.08033982923206",Fair
GOOD,"49.211152351678834, -123.12216727302045",
,"49.2111591193233, -123.06422295591756",Very Good
,"49.2111600692922, -123.08140229035615",Very Good
,"49.21116774478111, -123.02691711592108",Good
,"49.21116863083192, -123.08369167797535",Good
,"49.211179397410845, -123.06409067512169",Very Good
,"49.21119702980787, -123.12217130294576",Good
,"49.211201180708954, -123.07567645689934",Very Good
,"49.211237715126536, -123.07926521645798",Very Good
VERY GOOD,"49.21123988651904, -123.14856316118866",
VERY GOOD,"49.21124747945004, -123.10028388926222",
,"49.21125751160855, -123.11393718228503",Very Good
,"49.21129533913799, -123.09792040897246",Good
,"49.211347353569444, -123.14201600171992",Poor
GOOD,"49.21137320833084, -123.12504876042104",
,"49.211380388711135, -123.11783353178988",Fair
,"49.211389109786104, -123.0568295293857",Very Good
,"49.21138953843695, -123.14459463625252",Good
GOOD,"49.21139234509161, -123.14201205002234",
,"49.211412603574246, -123.09115867314041",Good
POOR,"49.211413196343464, -123.0910891025622",
,"49.21141834343146, -123.11941398951268",Very Poor
,"49.2114202746902, -123.1021119332379",Poor
POOR,"49.21142580046484, -123.11783264780267",
POOR,"49.211430756630314, -123.10217903652581",
VERY GOOD,"49.211434631422556, -123.1445993756777",
,"49.211437285795334, -123.14201319066929",Fair
,"49.211445719864685, -123.06246211597514",Poor
,"49.21145407105429, -123.05953884573266",Very Good
GOOD,"49.211462507248825, -123.06184439993383",
FAIR,"49.211463676487185, -123.11941055636993",
,"49.211464222789964, -123.10224737567141",Very Good
,"49.211479878120265, -123.14461604420009",Very Good
FAIR,"49.21148287212668, -123.14733100725428",
,"49.21148303551216, -123.06234339202587",Very Poor
,"49.21149638090463, -123.0768001001647",Very Good
,"49.211498900318006, -123.07202429018436",Very Good
,"49.21150091503379, -123.07216157420459",Very Good
FAIR,"49.211502226922555, -123.0720925336982",
GOOD,"49.21151923081875, -123.07407985245975",
,"49.211526022256244, -123.05964249830582",Very Good
,"49.211529677790075, -123.08814438477208",Good
FAIR,"49.21153226711272, -123.08821219609482",
,"49.21153293624234, -123.07996044365079",Very Good
GOOD,"49.21153547597769, -123.07989125128721",
POOR,"49.211542263947706, -123.08576790751167",
,"49.211542825403654, -123.08569919384804",Very Good
,"49.21154315963896, -123.08583721223064",Very Good
,"49.2115518725448, -123.08828077420708",Good
VERY POOR,"49.211563806501744, -123.09428755965432",
VERY POOR,"49.21156466587506, -123.09798130048185",
,"49.2115813907007, -123.09421950507938",Very Good
,"49.211582502674105, -123.10389795378008",Very Good
VERY POOR,"49.21158378577566, -123.0953447903863",
,"49.211634013829254, -123.11477160415227",Very Good
,"49.21164392078579, -123.09912094561184",Good
,"49.211661603285776, -123.06923940162773",Very Good
,"49.211664882499704, -123.11463438034365",Very Good
,"49.2116659180721, -123.10384593662197",Very Good
VERY GOOD,"49.211668897750734, -123.11470138282587",
,"49.211683314124514, -123.06910321460423",Good
GOOD,"49.21168956799346, -123.0991219011997",
,"49.21169442337154, -123.10121431613108",Very Poor
,"49.211703143986455, -123.06761478530726",Good
,"49.21172948619972, -123.11142115374379",Very Good
,"49.2117338453329, -123.09911727406512",Very Poor
GOOD,"49.21173989008133, -123.1012074621937",
GOOD,"49.21174872973629, -123.06761772896583",
,"49.211755117597875, -123.05649334538882",Good
,"49.21175608785697, -123.12014061365355",Very Good
POOR,"49.211757272781846, -123.1202092390876",
,"49.21175821506345, -123.12027955910408",Very Good
FAIR,"49.21176340047835, -123.12408294722104",
,"49.21176675379625, -123.05662949399618",Very Good
,"49.21177121989213, -123.09220045432342",Very Good
,"49.21178433144109, -123.10120999881401",Good
,"49.21179018270187, -123.05867648690422",Good
,"49.21179708495172, -123.06761185697007",Fair
,"49.21180552261049, -123.06600209055763",Very Good
,"49.21180949160661, -123.14034655831719",Good
,"49.21181164103135, -123.1404838258297",Poor
,"49.21181544119872, -123.12730341812212",Good
GOOD,"49.21181607206921, -123.12737026979933",
GOOD,"49.21181683803704, -123.09219911245393",
,"49.21181751167032, -123.12744068484669",Fair
,"49.21183012947222, -123.1240134931203",Very Good
,"49.211832035364, -123.11697449749047",Very Good
,"49.211836575774676, -123.1113865687856",Very Good
,"49.21183671164261, -123.12868647274844",Fair
VERY POOR,"49.21183764566802, -123.12875330284206",
,"49.21183883461362, -123.12882374480078",Good
GOOD,"49.21184232634709, -123.06606978786392",
,"49.21185119009863, -123.06613852035174",Very Good
,"49.21185745635382, -123.1300664615585",Good
,"49.21185758042003, -123.11711199211507",Very Good
,"49.21185950555117, -123.13020372846108",Very Good
VERY GOOD,"49.21186063592265, -123.14358057317662",
,"49.21186103064994, -123.14351381651234",Good
,"49.21186116684472, -123.09219813055012",Fair
,"49.2118632704609, -123.14365107395643",Good
,"49.21187428745239, -123.05873598808967",Good
,"49.21187721803402, -123.12414912186799",Very Poor
,"49.21188038260729, -123.13157289887981",Fair
VERY GOOD,"49.21188259222134, -123.13150232378881",
,"49.21189797503748, -123.14576924141045",Good
,"49.211901236563826, -123.1329542105318",Good
,"49.21190200484243, -123.07062797193528",Very Good
VERY GOOD,"49.21190262874339, -123.13288366818145",
VERY GOOD,"49.21192191160037, -123.13425607170193",
,"49.2119263582135, -123.08104821215971",Very Good
,"49.211929951604695, -123.0979034729069",Very Good
,"49.21193978313606, -123.13557214075936",Very Good
FAIR,"49.21194012749435, -123.13563893125922",
,"49.21194039547291, -123.07541134288685",Very Good
,"49.211941870758395, -123.13570941509194",Poor
,"49.21194479550006, -123.08491896612908",Very Good
GOOD,"49.211947647690884, -123.07062916792545",
,"49.211956423246605, -123.06540228073854",Very Good
,"49.21195784385974, -123.07688506614718",Very Good
VERY GOOD,"49.21195822454236, -123.13695905821649",
,"49.21195927550253, -123.13689220723577",Poor
,"49.21196340408959, -123.07881663839427",Very Good
,"49.21196997243298, -123.13764643025942",Very Good
VERY GOOD,"49.2119717089327, -123.13771367941939",
POOR,"49.21197185945051, -123.0810155462542",
,"49.211972044248746, -123.13778383411595",Very Good
GOOD,"49.21197716617042, -123.06531216078118",
GOOD,"49.21197743010058, -123.07307956532064",
VERY GOOD,"49.21198083611046, -123.07886033373683",
GOOD,"49.21198601700007, -123.07537246551716",
GOOD,"49.21199078273899, -123.08495981014258",
,"49.21199194669537, -123.07062565286667",Fair
FAIR,"49.211993184971746, -123.11278456766219",
GOOD,"49.211993854682134, -123.05847733983168",
,"49.211994565116775, -123.13916702183896",Fair
,"49.2119978854933, -123.08314396004282",Good
,"49.21199800096918, -123.07881896953671",Very Good
GOOD,"49.211998050616074, -123.13909686836796",
,"49.21199874684373, -123.08328128761691",Very Good
FAIR,"49.21199999719998, -123.0869643760926",
GOOD,"49.21200396114642, -123.08321173560468",
,"49.212008032743455, -123.08949094454614",Very Poor
,"49.21200812350728, -123.08962825746576",Fair
VERY GOOD,"49.21200819689666, -123.08955865624121",
,"49.21201630879672, -123.08104650248382",Very Good
,"49.212030344729584, -123.07541058647841",Good
,"49.212034736922774, -123.08491618189703",Very Good
,"49.21203498372093, -123.03060271412494",Very Poor
VERY GOOD,"49.212040316587995, -123.03054074769074",
,"49.21204347463673, -123.06536031147779",Very Good
,"49.21204426274633, -123.08696733640997",Very Good
,"49.21204577518611, -123.03053864065282",Poor
,"49.21206963230549, -123.02975402208156",Very Poor
VERY GOOD,"49.212069772311445, -123.02967814605908",
VERY POOR,"49.212079035927765, -123.09331437393675",
VERY POOR,"49.21209165637054, -123.10215057289642",
POOR,"49.21209253354337, -123.0948062180908",
VERY POOR,"49.212107410929995, -123.14593259038867",
,"49.212107689203755, -123.10208232536047",Very Good
,"49.212128080765055, -123.05578801017656",Very Good
,"49.21213587288875, -123.12604813757328",Very Good
,"49.21213895071016, -123.05723619433778",Fair
,"49.21215528188483, -123.02962149611284",Poor
GOOD,"49.21215853354255, -123.12597691557505",
VERY POOR,"49.212168924055156, -123.10023418655315",
VERY POOR,"49.21218068643165, -123.05579388488752",
VERY POOR,"49.21218394643653, -123.05720424044337",
,"49.21218767579475, -123.09664683294928",Fair
,"49.21221012602449, -123.09099850568647",Very Good
,"49.21221115569063, -123.09113579752727",Very Good
,"49.212212869109194, -123.13417564438484",Poor
POOR,"49.21221363549712, -123.0910662068847",
,"49.212215277754225, -123.13431289282337",Fair
,"49.212215497653325, -123.05715616246692",Good
VERY GOOD,"49.212233304878474, -123.09664950822685",
,"49.212235578014926, -123.14198440215768",Fair
,"49.212238148135725, -123.11585291310591",Very Good
POOR,"49.21224400598085, -123.05935790499139",
,"49.21224483796754, -123.05942870906311",Fair
,"49.212255002783095, -123.05929867110564",Good
,"49.212276333972035, -123.10602427096735",Very Good
FAIR,"49.21228069991972, -123.14198882191484",
,"49.212281548329486, -123.14480386664155",Very Good
POOR,"49.21228378593256, -123.11585075821237",
,"49.2122985528335, -123.12212443230409",Poor
,"49.21230601427624, -123.10827139458905",Very Good
,"49.21232550418609, -123.14198121161208",Very Good
VERY POOR,"49.21232676097429, -123.14481640143529",
VERY POOR,"49.21234517539066, -123.12211992543297",
FAIR,"49.21234644699451, -123.11860199323816",
,"49.212358789494, -123.14958628556847",Good
,"49.21237182904712, -123.14482202108023",Very Good
,"49.212381834045104, -123.0690912862106",Very Good
,"49.212383510565964, -123.06922857587864",Very Good
,"49.212388614224494, -123.12212103805018",Good
,"49.21238867453849, -123.14845121723631",Poor
POOR,"49.212396048324116, -123.14953830086647",
,"49.21239748354327, -123.10826316349177",Very Good
,"49.212408147672896, -123.07994388999775",Very Good
,"49.212411476944055, -123.07703553769826",Very Good
,"49.21241189045367, -123.07980650252924",Very Good
,"49.21241192500811, -123.07717284260832",Very Good
GOOD,"49.21241244770418, -123.07987463931285",
,"49.21241707625932, -123.06212138999511",Good
,"49.21241742216696, -123.07201027397431",Very Good
FAIR,"49.21241970083097, -123.07207850810356",
FAIR,"49.21242375859326, -123.10396759799214",
